evolution alarm notify,進化アラーム通知  
origin,原点(名刺)  
original,原点の(形容詞)  
野栄,2006年、野栄は八日市場と合併して匝瑳になった  
integrity,誠実さ  
（アルティメット）左足をビボットをピボットにしてから左手で投げていいのか,ルールブックにピボットの向きの記載はないためどちらの手で投げても問題ない
memoとノートの違い,memoは他の人と共有してノートは自分のための覚書  
articleタグ,自己完結したセクション  
article,記事・論説・論文  
newbies,補足的なコンテンツ  
daily,日記  
citeタグ,引用されたタイトルをマークアップするためのタグ  
personification,擬人  
Bootstrap,Metarial Design Lite,One Page Love,Awwards,Simple Responsive Template  
puppy,子犬  
stomosphere,雰囲気  
carnival,カットリック国で断食の直前に行われるお祭り・謝肉祭  
ジェームズジーン,造詣作家  
clothes,服  
durian hat,ドリアン帽子  
moderm,最新の  
imspired,インスパイヤされた  
imspired,ひらめきや活力を与える・やる気にさせる・可能性を引き出す  
individual,個人  
explole,探索する  
copilot  
travelとjourneyの違い,travelは旅行全般を指しjourneyは移動のプロセスや経験に焦点が当てられている  
assembly,組み立て(名詞)  
executives,幹部たち  
thoughtful expression,思慮深い表情  
outfit,衣装  
consists,構成  
arduous,困難な  
resistant,耐性のある  
cron,定期的にタスクを実効するためのツール  
レンブラント,オランダの作家で有名な作品は「夜警」  
async,非同期  
ワンフェス,ワンダーフェスティバルの略で自分の造形物を世に問うことを目的としてはじまった  
legend,伝説・銘  
セマンティック,意味・意味論  
how to reach me,連絡方法  
pronouns,代名詞  
fun fact,趣味や熱中していること  
diffussion,拡散(名詞)  
stable,安定した(形容詞)  
auburn,赤褐色の(形容詞)  
subtle,微妙な(形容詞)  
tears,涙  
